trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,7,48,5,4,192,0.1819765862346026,0.0003128275087759745,1024,0.8876886812218735,0.1553950763587174,0.5049864007252947,0.04982962071650303,0.051629484
1,5,32,3,4,64,0.365913774677561,0.0012419802111568745,4096,0.8859677088696298,0.1529874214303428,0.5113327289211242,0.04990040142774806,0.051457763
2,8,48,6,8,128,0.038062109224671084,0.0021415633968294837,1024,0.888474227025084,0.1556725747872807,0.5131459655485041,0.04981950918632517,0.063434206
3,8,16,3,4,64,0.2171061762048173,0.0008411863435087626,2048,0.8879185466465742,0.16010262331593578,0.5095194922937444,0.04994084754845951,0.066375084
4,8,32,6,4,128,0.21918794713695752,0.0006107001064751944,2048,0.8871217479845306,0.15677401848487324,0.5077062556663645,0.04995095907863737,0.056888673
5,1,16,5,8,64,0.35436425469873,0.0004780815596813986,2048,0.8346581882479249,0.08913592808490955,0.39619220308250225,0.04977906306561372,0.037759043
6,1,48,6,4,128,0.2681594494005605,0.000302505860012709,8192,0.8036500212942592,0.05596539620941918,0.31368993653671806,0.04998129366917096,0.026245419
7,1,16,2,8,128,0.23806027260295798,0.002613643602184684,4096,0.834477674974369,0.0974902477060551,0.3943789664551224,0.04991051295792592,0.051310066
8,8,48,2,4,128,0.10945522622027992,0.0012823202288375453,4096,0.888756011444492,0.1562700596613693,0.5158658204895739,0.049870066837214476,0.06311653
9,2,64,3,4,192,0.24517921958639258,0.002236009093449671,4096,0.8808876504398365,0.1493422760840139,0.48685403445149594,0.04977906306561372,0.06351632
10,3,64,2,8,256,0.06701286442190585,0.0013196186222527203,8192,0.8863186513884592,0.15096659531395343,0.5040797824116047,0.04955660940170076,0.05532847
11,6,48,4,8,128,0.0005910430516312404,0.0017295895361062398,1024,0.8899015616410386,0.15838207104514698,0.5222121486854034,0.04979928612596944,0.031248197
12,8,48,4,8,128,0.11572778288480552,0.0014224903541877093,1024,0.8879301891155914,0.15197547310690604,0.5194922937443336,0.049758840005257994,0.02851106
13,4,48,4,8,256,0.006945676683495297,0.001620116516443702,1024,0.8866507963618404,0.15619703710920196,0.5095194922937444,0.049688059294012966,0.055949327
14,1,48,4,8,128,0.12023646562658438,0.0008867085812013807,1024,0.8775728882502378,0.14166700486072883,0.49229374433363554,0.04991051295792592,0.0639295
15,3,48,5,8,128,0.12864556933803944,0.0018278140079824496,1024,0.8857356066241101,0.15784713438514014,0.5049864007252947,0.04977906306561372,0.07339003
16,1,48,4,8,128,0.06736778184284589,0.002736968167378141,1024,0.8821894847401655,0.1504514302859446,0.5067996373526745,0.049415047979210695,0.042007748
17,2,64,4,8,192,0.004187854708107591,0.00107502321781509,1024,0.8842351903050024,0.1482406033207006,0.5176790571169537,0.04998129366917096,0.038519844
18,1,32,3,8,256,0.16257200182013004,0.001641409434176609,1024,0.8818820731379722,0.1501283057548622,0.4932003626473255,0.04983973224668089,0.09698784
19,1,48,5,8,128,0.29308746674159397,0.0007166112407830886,8192,0.8674501235481394,0.1108892181204299,0.4524025385312783,0.049870066837214476,0.08380211
