trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,3,64,3,4,128,0.26419091422496255,0.0004099210866971574,1024,0.88272441035501,0.15736984338559745,0.5122393472348141,0.04998129366917096,0.06009084
1,6,32,2,8,192,0.20487476251356973,0.00043764778019991313,8192,0.8785916134565344,0.14055810347037978,0.499546690843155,0.049890289897570196,0.044253957
2,5,32,2,8,128,0.004831816692082125,0.0022502474010888973,1024,0.8839538092467257,0.15149384444037856,0.5022665457842248,0.049870066837214476,0.05121511
3,8,48,2,4,256,0.3384869976107949,0.0012400150060688077,1024,0.8876277920256439,0.15913980080705642,0.5058930190389845,0.04990040142774806,0.04691931
4,7,48,5,4,64,0.3949913867297588,0.001037187838659722,4096,0.8870192300860907,0.15097088407127274,0.5067996373526745,0.049870066837214476,0.024802301
5,1,48,5,8,64,0.2696125574744732,0.000743778436599665,8192,0.7866580440279858,0.06441514665320863,0.35176790571169536,0.049404936449032835,0.03591093
6,6,48,2,8,64,0.18939248010566093,0.0019640452070085338,2048,0.8866927917559878,0.15657571159899386,0.5185856754306437,0.04984984377685875,0.04243302
7,1,16,3,4,256,0.1815992061550539,0.0016706700445743242,2048,0.8591327436823082,0.1190356416181607,0.4514959202175884,0.04999140519934882,0.02797274
8,1,16,4,8,256,0.1871348685708977,0.002349567022647763,8192,0.7438578298322245,0.03378944146528158,0.2230281051677244,0.049586943992234345,0.018858302
9,1,32,3,8,128,0.3949145084397397,0.0006139035489030579,4096,0.7885494547928016,0.05669903308730728,0.34270172257479603,0.0496779477638351,0.019180842
10,6,64,6,8,64,0.04946578993852763,0.0028217397685810102,2048,0.8853085938628366,0.1548119741023662,0.5122393472348141,0.04995095907863737,0.044955496
11,2,64,3,4,128,0.12427517027036081,0.00041048150108043585,1024,0.8779362707930486,0.1505196514478117,0.4877606527651859,0.04962739011294579,0.032206107
12,2,64,3,4,192,0.2643472023053783,0.00032446536024083675,2048,0.878301651806919,0.12921139413852317,0.48685403445149594,0.04999140519934882,0.06430159
13,6,64,4,4,128,0.28843045834696507,0.0014639131652558971,2048,0.8869954409466423,0.14266512528843328,0.5158658204895739,0.049870066837214476,0.05757433
14,2,48,4,4,64,0.12885377347063987,0.001533156242354567,2048,0.8812078916761947,0.14644513674970278,0.49229374433363554,0.04953638634134504,0.03583695
15,2,64,5,8,128,0.31256648602525394,0.0015978468334047638,2048,0.8782636900240843,0.13930130644802868,0.48685403445149594,0.04970828235436869,0.029017156
16,2,48,6,8,64,0.12804784527114219,0.0011562540114609175,2048,0.8832465888413755,0.14751479897363512,0.49501359927470534,0.04999140519934882,0.05866603
17,1,16,4,4,192,0.2195777927339981,0.000780546430499272,2048,0.8215516970864978,0.07247755635789013,0.38168631006346326,0.04993073601828164,0.034364425
18,1,64,2,8,64,0.316715776352332,0.002010742242170803,2048,0.8759438363994386,0.1376237137651804,0.46328195829555757,0.04955660940170076,0.05155505
19,1,48,5,4,128,0.23578368504637243,0.0013446530948964643,4096,0.8706118697758488,0.10913872423441193,0.4587488667271079,0.04978917459579158,0.04703914
