epoch,train_loss,valid_auc,valid_pr,samples_per_sec,gpu_mem_mb,best
1,0.06050404634594917,0.8751192974923194,0.12807179038144925,31630.797759191297,1704.7529296875,1
2,0.04803063052415848,0.8815495156361614,0.14016094352754263,31806.86819496982,1704.7529296875,1
3,0.04718018670916557,0.885147588600358,0.15120190228611255,31670.86046422707,1704.7529296875,1
4,0.04672451514482498,0.8870720566433437,0.15863470540521218,31991.256357041013,1704.7529296875,1
5,0.04658544680595398,0.88644235949724,0.15659403923942772,31980.045714845797,1704.7529296875,0
6,0.04656662253260613,0.8872381726747017,0.15842184058189807,31749.435026957577,1704.7529296875,1
7,0.04634129588723183,0.8888569296493543,0.16172359609227152,31970.083232145425,1704.7529296875,1
8,0.046257365646362306,0.8886864454002902,0.16148965467668328,31951.006522781514,1704.7529296875,0
9,0.046026809569597246,0.8887637486443742,0.16018828394164555,32294.072501906063,1704.7529296875,0
10,0.04597113013505936,0.8883862667965648,0.16228626662858237,32315.645655234523,1704.7529296875,0
11,0.04596204341828823,0.888759962550119,0.16154585214427797,32079.170917551426,1704.7529296875,0
12,0.045960096658468244,0.8883531040944629,0.1631865227287822,32117.42578499696,1704.7529296875,0
13,0.04595825805544853,0.8876196606319289,0.15632899585204435,32185.411057245103,1704.7529296875,0
14,0.04595312685012817,0.8886320512350041,0.1627618408510702,32377.997533961963,1704.7529296875,0
15,0.045824807718992236,0.888435504356479,0.16197808029224786,32034.452335918675,1704.7529296875,0
16,0.0458321567428112,0.8884669481901235,0.16003852876697894,31999.031096232124,1704.7529296875,0
17,0.04572655804276466,0.888541015377859,0.15970701974834944,32089.65662329005,1704.7529296875,0
18,0.04577879681944847,0.8880462608647728,0.15779163255832918,32058.62772419349,1704.7529296875,0
19,0.04583448108434677,0.8885456815327643,0.15716676001319102,32178.974246593356,1704.7529296875,0
20,0.04556243091344833,0.8884899260236602,0.15862751856823645,32379.47601121257,1704.7529296875,0
