trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
0,1,64,6,4,192,0.10921219078933664,0.0016074329893155078,1024,0.8799553966428735,0.1352014277070947,0.5,0.04985765848202938,0.054209564
0,2,64,6,4,192,0.10921219078933664,0.0016074329893155078,1024,0.8835438496238586,0.1401473291669329,0.5128834355828221,0.04973056784098419,0.06665538
0,3,64,6,4,192,0.10921219078933664,0.0016074329893155078,1024,0.8850406343086098,0.14589485923080892,0.5196319018404908,0.04995297646281328,0.017491708
0,4,64,6,4,192,0.10921219078933664,0.0016074329893155078,1024,0.8875603622067676,0.15048974331462903,0.5349693251533743,0.04995933099486554,0.045510985
0,5,64,6,4,192,0.10921219078933664,0.0016074329893155078,1024,0.8856867888576905,0.14976595384828495,0.5208588957055215,0.04988307661023842,0.051969077
0,6,64,6,4,192,0.10921219078933664,0.0016074329893155078,1024,0.8862363662150349,0.15137377702023389,0.5214723926380368,0.04985765848202938,0.061324466
0,7,64,6,4,192,0.10921219078933664,0.0016074329893155078,1024,0.8852366755209079,0.14990539520877086,0.5190184049079755,0.04988307661023842,0.029505989
0,8,64,6,4,192,0.10921219078933664,0.0016074329893155078,1024,0.8863998375267008,0.14458306008180022,0.5263803680981595,0.04954628641146866,0.038820144
1,1,16,6,4,64,0.020822000307935174,0.0028486314069372364,4096,0.8697554916411785,0.12528399594059808,0.4852760736196319,0.0499656855269178,0.022873966
1,2,16,6,4,64,0.020822000307935174,0.0028486314069372364,4096,0.8832840057909669,0.14219275107035018,0.5165644171779141,0.049825885821768084,0.023911094
1,3,16,6,4,64,0.020822000307935174,0.0028486314069372364,4096,0.8852692961018571,0.1456614361613459,0.5220858895705521,0.04994662193076102,0.03262247
1,4,16,6,4,64,0.020822000307935174,0.0028486314069372364,4096,0.8860295534861353,0.14743879977384894,0.5214723926380368,0.04999745818717909,0.04667746
