trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val
0,0.41478129713423817,47230357292.276794,0.0351596362888813,0.047230357292276794,0.6986873508353222,0.04992332822188146,49923328221.88146
1,0.40309200603318235,46259727219.47954,0.028042655438184738,0.04625972721947954,0.7058472553699284,0.049916661110740716,49916661110.740715
2,0.4204374057315232,53070872730.31545,0.025059929117560387,0.05307087273031545,0.7064439140811456,0.049743316221081406,49743316221.081406
3,0.40309200603318235,48259559869.466995,0.01565059833228588,0.04825955986946699,0.7076372315035799,0.049983332222148145,49983332222.14815
4,0.41779788838612353,45088277131.62079,0.035346485674381256,0.04508827713162079,0.7118138424821002,0.049796653110207346,49796653110.207344
5,0.22850678733031665,38494686637.101494,0.012179579585790634,0.0384946866371015,0.5441527446300716,0.049783318887925865,49783318887.925865
6,0.45965309200603305,82127018659.5264,0.02131602168083191,0.0821270186595264,0.64618138424821,0.04990999399959997,49909993999.599976
7,0.39291101055806926,46192787214.45904,0.027114523574709892,0.04619278721445904,0.7028639618138425,0.04954996999799987,49549969997.99987
8,0.4351432880844644,52752907706.46808,0.025269819423556328,0.05275290770646808,0.6873508353221957,0.04993666244416294,49936662444.16294
9,0.3914027149321266,49058656179.399216,0.03595103323459625,0.04905865617939922,0.6831742243436754,0.049689979331955465,49689979331.95547
10,0.029411764705882342,18780855158.564137,0.14603585004806519,0.018780855158564137,0.060859188544152745,0.048343222881525434,48343222881.52544
11,0.16251885369532423,29792485984.43645,0.019651342183351517,0.02979248598443645,0.6235083532219571,0.04976331755450363,49763317554.50363
12,0.36764705882352927,40599113044.93348,0.029979262501001358,0.04059911304493348,0.7028639618138425,0.04990999399959997,49909993999.599976
13,0.36802413273001494,45506652162.99892,0.011737816967070103,0.045506652162998915,0.6968973747016707,0.04962997533168878,49629975331.68878
14,0.3733031674208144,44791230859.342316,0.04223133996129036,0.044791230859342314,0.649164677804296,0.04992332822188146,49923328221.88146
15,0.3974358974358973,46422893481.71701,0.021255023777484894,0.04642289348171701,0.714200477326969,0.04967664510967398,49676645109.67398
16,0.31975867269984903,36733327754.99958,0.019351938739418983,0.03673332775499958,0.6921241050119332,0.04985665711047403,49856657110.47403
17,0.42458521870286564,52104426407.83198,0.02925763837993145,0.05210442640783198,0.7118138424821002,0.04987665844389626,49876658443.896255
18,0.084841628959276,36821186511.58899,0.11440419405698776,0.036821186511588985,0.13126491646778043,0.04977665177678512,49776651776.78512
19,0.40648567119155343,48811814910.886116,0.03780902177095413,0.04881181491088612,0.701073985680191,0.04977665177678512,49776651776.78512
20,0.3815987933634991,44075809555.685715,0.011877709068357944,0.04407580955568571,0.6879474940334129,0.049863324221614776,49863324221.61478
