trial,epoch,d_token,n_blocks,n_heads,ffn_hidden,dropout,lr,batch,val_auc,val_prauc,val_recall_at_fpr,val_fpr,val_threshold
26,1,64,3,4,256,0.2143667715047869,0.0018239463611770393,4096,0.8913483611715721,0.15066497709864907,0.513126491646778,0.04984332288819254,0.06080925
27,3,16,2,8,64,0.2859974470699659,0.0023866819803690007,1024,0.9023259744762618,0.17751023355737844,0.5495226730310262,0.04972331488765918,0.06654377
28,4,48,3,8,192,0.3507549595837538,0.0008415291258354994,2048,0.9020211689530296,0.17358012786899907,0.5495226730310262,0.04998999933328888,0.043242283
29,1,48,4,8,256,0.23401238050503456,0.0005800011095979434,4096,0.886663526176208,0.1418757154533853,0.4922434367541766,0.049889992666177746,0.056355637
30,4,64,2,8,128,0.17091164962836886,0.0014126703157453986,4096,0.9014039758577381,0.17692932731718372,0.548926014319809,0.04999666644442963,0.03580141
31,1,48,2,8,192,0.38242334439022657,0.0016914815530103954,2048,0.8952070571610105,0.15916623623934475,0.5077565632458234,0.049663310887392495,0.08588117
32,2,48,2,8,192,0.3991521413934898,0.0011261262948321898,2048,0.8978993826318733,0.17133735417081375,0.5304295942720764,0.04980332022134809,0.06894315
33,2,48,6,8,192,0.3999343534456891,0.0015045275320101296,2048,0.8996855955870406,0.16440774299094008,0.5465393794749404,0.04996333088872591,0.096836574
34,7,32,2,8,192,0.28114819035788885,0.0010290185236484868,2048,0.9021486138057573,0.17615515827717226,0.5590692124105012,0.049983332222148145,0.05342252
35,1,32,3,4,192,0.285984238233228,0.0007259505759219884,8192,0.8414908269143162,0.07977666536800232,0.3752983293556086,0.04985665711047403,0.033308018
36,2,32,3,8,64,0.23914970172478214,0.001002899062257641,2048,0.8986613725720138,0.17593118547358066,0.5340095465393795,0.049836655777051805,0.026023412
37,1,32,2,4,128,0.26731446221694943,0.0008801036667001637,4096,0.8461275202754169,0.0846481566386523,0.40930787589498807,0.04977665177678512,0.04125364
38,3,32,3,8,192,0.11513528046253937,0.0011722914647265324,1024,0.9009914264769601,0.17532006599342684,0.551909307875895,0.04998999933328888,0.059078578
39,1,32,2,4,192,0.28695935873202405,0.00046730773808211634,8192,0.7773537169781088,0.044964622551974254,0.2649164677804296,0.0499766651110074,0.0075538587
40,1,16,6,8,256,0.3312646661849776,0.0010465331294443542,2048,0.885459907748822,0.1405292009019385,0.4988066825775656,0.04999666644442963,0.09576497
41,1,48,2,8,192,0.3566544886537917,0.0017732961674796397,2048,0.8993679451342899,0.1609738617473775,0.5352028639618138,0.04996999799986666,0.11526621
42,1,32,2,8,192,0.3795457331275116,0.001274560095998538,2048,0.8911709428202135,0.14328990729224964,0.5095465393794749,0.04998999933328888,0.06996865
43,2,48,2,8,192,0.2535794965604627,0.002265528450728189,2048,0.8986451244721009,0.16688160856468987,0.5304295942720764,0.049929995333022205,0.054504454
44,1,16,2,8,128,0.31624672054261316,0.0007651893927796699,2048,0.8608393781542476,0.1048489696079608,0.43556085918854415,0.04987665844389626,0.022069052
45,1,48,2,8,192,0.3507380487267429,0.0014027025088733517,2048,0.8932446749433256,0.1520828464464355,0.5167064439140812,0.04993666244416294,0.09817767
46,1,32,3,8,64,0.3348126542252556,0.0009601008309716859,8192,0.8082771150534938,0.057389218811237215,0.31026252983293556,0.048569904660310685,0.010192411
47,1,64,3,4,192,0.05095052095985797,0.0003073562275005201,4096,0.8845438005334008,0.13397450710182934,0.4809069212410501,0.04967664510967398,0.043997698
48,2,48,4,8,128,0.3790892620420797,0.0015980298053124918,1024,0.8966667189109345,0.16309141563387497,0.535799522673031,0.04976331755450363,0.029467532
49,2,48,2,8,192,0.30208941856620863,0.0007900964600764539,2048,0.8967256965897965,0.1602563554607168,0.535799522673031,0.0499766651110074,0.06940469
50,2,64,4,8,128,0.22386329238534525,0.0006738095893081746,2048,0.8955368961749399,0.15736996796769798,0.5304295942720764,0.049783318887925865,0.083734296
51,1,48,5,8,128,0.36713785168579255,0.002013096868922632,1024,0.8963334369467113,0.15623817704705317,0.5304295942720764,0.049883325555037,0.04545951
52,2,48,4,8,128,0.3400137243797879,0.0024903503829664586,1024,0.9011787559902561,0.17101483903883075,0.5399761336515513,0.0499766651110074,0.056503188
53,1,48,4,8,128,0.36686700983175763,0.0020573773879761334,1024,0.898905398386941,0.15563233172399435,0.5352028639618138,0.04990999399959997,0.04800692
54,1,48,5,8,128,0.3181482887545739,0.0011939010211199227,1024,0.8924012376481424,0.1557393729178232,0.5196897374701671,0.04998999933328888,0.029057235
55,1,48,2,8,192,0.3865622887419274,0.0018883302969228356,4096,0.8900193187103485,0.1393902803552169,0.5095465393794749,0.04982998866591106,0.05708006
56,1,16,2,8,256,0.3525720309643833,0.001076023664072551,2048,0.8747399190176719,0.11838999206968454,0.45704057279236276,0.04990999399959997,0.06807059
57,2,64,3,8,192,0.0010780910137390687,0.001447484814300833,1024,0.9001134801190406,0.16592571025016714,0.5381861575178998,0.04992332822188146,0.069686994
