trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val
0,0.5503822098679637,59985257231.62472,0.0648721382021904,0.05998525723162472,0.5263803680981595,0.04989578567434294,49895785674.34294
1,0.4902710215427379,44426194634.22598,0.031438302248716354,0.04442619463422598,0.5177914110429448,0.04999110365512684,49991103655.12684
2,0.5489923558026405,55409062350.03686,0.04792003706097603,0.055409062350036856,0.5300613496932516,0.049641604392252556,49641604392.252556
3,0.4993050729673383,46553506849.45061,0.04125676676630974,0.04655350684945061,0.5288343558282208,0.04973056784098419,49730567840.98419
4,0.5500347463516329,58021203860.82431,0.05918889865279198,0.05802120386082431,0.5300613496932516,0.0499656855269178,49965685526.9178
5,0.38082001389854053,79427901431.23587,0.038565732538700104,0.07942790143123588,0.27300613496932513,0.04971150424482741,49711504244.827415
6,0.4704656011118831,40671241212.46902,0.07021617889404297,0.04067124121246902,0.5245398773006135,0.04980682222561131,49806822225.611305
7,0.5118137595552466,47721054948.969246,0.04478864371776581,0.04772105494896924,0.5294478527607362,0.04898073305881755,48980733058.81755
8,0.32209867963863786,35951576437.296234,0.04022611305117607,0.03595157643729623,0.37668711656441717,0.04984494941792486,49844949417.92486
9,0.5145934676858929,48735238679.483315,0.04524623230099678,0.04873523867948331,0.5312883435582823,0.049641604392252556,49641604392.252556
10,0.12578179291174424,26398460419.624702,0.015925712883472443,0.0263984604196247,0.16503067484662576,0.04998474912307458,49984749123.074585
11,0.4635163307852674,44584506240.94037,0.05000840499997139,0.04458450624094037,0.49570552147239266,0.04998474912307458,49984749123.074585
12,0.365531619179986,63319695448.046585,0.0249574463814497,0.06331969544804658,0.3214723926380368,0.0495399318794164,49539931879.416405
13,0.520847810979847,56507349121.61794,0.042067255824804306,0.05650734912161794,0.49877300613496933,0.049876722078186164,49876722078.186165
14,0.4979152189020151,50343090935.176346,0.07995004951953888,0.050343090935176346,0.49079754601226994,0.04992755833460424,49927558334.60424
15,0.5524669909659484,60920285158.7816,0.04572613537311554,0.0609202851587816,0.5239263803680981,0.04988307661023842,49883076610.23842
16,0.2574704656011118,22648454235.577568,0.024138007313013077,0.022648454235577566,0.4030674846625767,0.0499339128666565,49933912866.6565
17,0.3842946490618484,54266250439.067345,0.036255378276109695,0.05426625043906735,0.3558282208588957,0.04994026739870876,49940267398.708755
18,0.5048644892286308,47622110194.77275,0.05239953473210335,0.04762211019477275,0.5128834355828221,0.049628895328148036,49628895328.14803
19,0.006601806810284918,4694928586.623659,0.009279083460569382,0.004694928586623659,0.07423312883435583,0.049565350007625436,49565350007.625435
20,0.5034746351633077,53113544052.678185,0.04463830217719078,0.05311354405267819,0.5,0.04999745818717909,49997458187.17909
21,0.40271021542738,57754053024.493774,0.033957045525312424,0.057754053024493775,0.39263803680981596,0.04979411316150679,49794113161.50679
22,0.2126476719944405,23177808670.528812,0.03278548642992973,0.02317780867052881,0.33680981595092024,0.049775049565350005,49775049565.350006
23,0.07296733842946489,36139571470.26958,0.005229506175965071,0.036139571470269576,0.0754601226993865,0.04973692237303645,49736922373.03645
24,0.5406532314107017,62716132447.44796,0.05294039100408554,0.06271613244744796,0.4815950920245399,0.049787758629454525,49787758629.45453
25,0.2970813064628213,53019546536.19151,0.01832497864961624,0.053019546536191516,0.2920245398773006,0.049800467693559045,49800467693.559044
26,0.46455872133425974,43471377756.229805,0.04255129396915436,0.043471377756229806,0.498159509202454,0.04976869503329775,49768695033.29775
27,0.5458651841556634,58995809689.659775,0.04109259694814682,0.05899580968965978,0.5122699386503068,0.0499339128666565,49933912866.6565
28,0.412439193884642,47602321243.93346,0.050019651651382446,0.04760232124393345,0.4190184049079755,0.04999745818717909,49997458187.17909
29,0.4986101459346767,49610899754.122284,0.03621438890695572,0.049610899754122285,0.5030674846625767,0.04938742311016217,49387423110.16217
30,0.11779013203613617,20877343135.460316,0.01577112078666687,0.020877343135460316,0.23558282208588957,0.049679731584566116,49679731584.56612
31,0.4805420430854759,43837473346.75684,0.03990180790424347,0.04383747334675684,0.5085889570552147,0.04997204005897006,49972040058.97006
32,0.49999999999999983,48349354138.11698,0.03338206186890602,0.04834935413811698,0.5165644171779141,0.04997839459102232,49978394591.022316
33,0.5034746351633077,48750080392.612785,0.026063567027449608,0.048750080392612784,0.5184049079754601,0.049902140206395204,49902140206.3952
34,0.5211952744961778,49017231228.94332,0.06723148375749588,0.04901723122894332,0.5239263803680981,0.049838594885872604,49838594885.872604
35,0.48679638637943,52262619166.58834,0.03516526520252228,0.05226261916658834,0.4834355828220859,0.04988307661023842,49883076610.23842
36,0.5222376650451701,50313407508.9174,0.03107033297419548,0.0503134075089174,0.5294478527607362,0.04976869503329775,49768695033.29775
37,0.38498957609450996,51500744559.27533,0.029472114518284798,0.05150074455927533,0.3852760736196319,0.04979411316150679,49794113161.50679
38,0.3818624044475329,56853655761.30567,0.0373397134244442,0.056853655761305674,0.37116564417177916,0.04999110365512684,49991103655.12684
39,0.24044475330090334,27190018453.19666,0.015489171259105206,0.027190018453196657,0.34846625766871164,0.04973692237303645,49736922373.03645
40,0.5205003474635161,55958205735.82741,0.052805472165346146,0.0559582057358274,0.5024539877300613,0.04999110365512684,49991103655.12684
41,0.491660875608061,48477982318.572426,0.06261403113603592,0.04847798231857243,0.49938650306748467,0.04995933099486554,49959330994.86554
42,0.5552466990965946,63166331079.042015,0.019550323486328125,0.06316633107904202,0.4938650306748466,0.04973692237303645,49736922373.03645
43,0.5121612230715773,52223041264.90974,0.04686158895492554,0.05222304126490974,0.5128834355828221,0.04979411316150679,49794113161.50679
44,0.5079916608756079,49744475172.28756,0.02243708446621895,0.049744475172287556,0.5104294478527608,0.04990849473844746,49908494738.447464
45,0.48193189715079904,48062414350.94715,0.036690205335617065,0.04806241435094715,0.5006134969325153,0.0499656855269178,49965685526.9178
46,0.5330090340514244,54271197676.77717,0.043967779725790024,0.05427119767677717,0.5306748466257669,0.049775049565350005,49775049565.350006
47,0.45552466990965934,46959180341.656235,0.09657803922891617,0.046959180341656234,0.4638036809815951,0.04976869503329775,49768695033.29775
48,0.5225851285615009,52608925806.27607,0.04308149218559265,0.05260892580627607,0.5276073619631901,0.04976869503329775,49768695033.29775
49,0.49305072967338415,49492166049.086494,0.03381294384598732,0.049492166049086496,0.5116564417177915,0.04984494941792486,49844949417.92486
50,0.48922863099374553,45930154898.012695,0.030693020671606064,0.04593015489801269,0.5159509202453988,0.049851303949977124,49851303949.97713
51,0.5135510771369005,50214462754.7209,0.04367266222834587,0.0502144627547209,0.5263803680981595,0.04954628641146866,49546286411.46866
52,0.501389854065323,51020862501.422325,0.06132040545344353,0.05102086250142233,0.5042944785276073,0.049813176757663565,49813176757.66357
53,0.4749826268241833,45860893570.07515,0.05491182953119278,0.04586089357007515,0.49693251533742333,0.049902140206395204,49902140206.3952
54,0.5264072272411395,54558137463.94701,0.0343918576836586,0.054558137463947005,0.507361963190184,0.04999745818717909,49997458187.17909
55,0.15774843641417646,52218094027.19991,0.016482669860124588,0.052218094027199916,0.20245398773006135,0.049864013014081644,49864013014.08164
56,0.37317581653926324,28946287840.184433,0.05965971201658249,0.028946287840184434,0.47791411042944787,0.04995933099486554,49959330994.86554
57,0.44822793606671285,50724028238.83285,0.033738408237695694,0.05072402823883285,0.4601226993865031,0.04984494941792486,49844949417.92486
58,0.4214732453092424,42610558394.72031,0.07589887082576752,0.042610558394720305,0.4736196319018405,0.04985765848202938,49857658482.02938
59,0.14002779708130642,40710819114.14762,0.013374916277825832,0.04071081911414762,0.07484662576687116,0.04994026739870876,49940267398.708755
60,0.5132036136205697,58580241722.0345,0.055775634944438934,0.0585802417220345,0.45766871165644174,0.04999110365512684,49991103655.12684
61,0.3280055594162612,34511930263.73724,0.022167539224028587,0.034511930263737244,0.42392638036809815,0.049876722078186164,49876722078.186165
62,0.4138290479499651,45831210143.8162,0.031443364918231964,0.0458312101438162,0.4460122699386503,0.0495399318794164,49539931879.416405
63,0.4169562195969422,47424220686.37976,0.07326854765415192,0.04742422068637976,0.4226993865030675,0.04999110365512684,49991103655.12684
64,0.4530924252953438,53257013946.2631,0.05855819955468178,0.0532570139462631,0.4269938650306748,0.0499339128666565,49933912866.6565
65,0.4523974982626823,59777473247.81208,0.02229965478181839,0.05977747324781208,0.39631901840490796,0.04989578567434294,49895785674.34294
66,0.47637248088950646,44183779986.44457,0.030743520706892014,0.04418377998644457,0.5153374233128835,0.049851303949977124,49851303949.97713
67,0.4808895066018067,47612215719.353096,0.04709408059716225,0.0476122157193531,0.49938650306748467,0.04994026739870876,49940267398.708755
68,0.3971507991660874,47988205785.299774,0.02737635001540184,0.047988205785299776,0.40429447852760736,0.04969244064867063,49692440648.67063
69,0.5048644892286308,50620136246.92653,0.02564404532313347,0.05062013624692653,0.5190184049079755,0.049654313456357076,49654313456.35708
