trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val
0,0.7179487179487177,50456028784.20216,0.027046404778957367,0.05045602878420216,0.7255369928400954,0.04974998333222215,49749983332.22215
1,0.7081447963800902,56279809220.98569,0.03147919476032257,0.05627980922098569,0.7088305489260143,0.04998999933328888,49989999333.28889
2,0.7047511312217192,47845368588.40265,0.04808685928583145,0.047845368588402645,0.7362768496420048,0.049769984665644376,49769984665.64438
3,0.6968325791855201,44569492092.711914,0.035386811941862106,0.04456949209271191,0.7243436754176611,0.049476631775451696,49476631775.4517
4,0.6485671191553543,30863526064.764458,0.028900595381855965,0.030863526064764456,0.7285202863961814,0.04986999133275552,49869991332.75552
5,0.4664404223227751,82118651158.89883,0.0293899979442358,0.08211865115889884,0.32398568019093077,0.0495233015534369,49523301553.4369
6,0.6331070889894417,57765040582.378044,0.03065676800906658,0.057765040582378045,0.5930787589498807,0.049836655777051805,49836655777.0518
7,0.6990950226244341,45849719688.72897,0.03508706018328667,0.045849719688728974,0.7326968973747017,0.04982332155477032,49823321554.77032
8,0.40987933634992446,50790728809.30466,0.02814422734081745,0.05079072880930466,0.3585918854415274,0.049956663777585175,49956663777.585175
9,0.7077677224736045,47770061082.754585,0.05239970237016678,0.047770061082754584,0.7326968973747017,0.04992332822188146,49923328221.88146
10,0.5595776772247358,41222491841.68689,0.012928580865263939,0.04122249184168689,0.5948687350835322,0.0499766651110074,49976665111.0074
11,0.6757164404223226,43594678269.60087,0.03496575728058815,0.04359467826960087,0.7004773269689738,0.04984998999933329,49849989999.33329
12,0.6417797888386122,42670069450.2552,0.02654675394296646,0.042670069450255206,0.6927207637231504,0.04965664377625175,49656643776.251755
13,0.7051282051282048,48443644883.27337,0.0343453474342823,0.048443644883273365,0.7231503579952268,0.049983332222148145,49983332222.14815
14,0.4751131221719455,57626976822.02326,0.02806609682738781,0.05762697682202326,0.4307875894988067,0.04994999666644443,49949996666.444435
15,0.687782805429864,49276211195.71584,0.02911340445280075,0.04927621119571584,0.6933174224343676,0.04999666644442963,49996666444.42963
16,0.6998491704374055,51342983850.72379,0.04636894911527634,0.05134298385072379,0.6992840095465394,0.04981665444362957,49816654443.62957
17,0.4754901960784312,46477282235.79617,0.08799045532941818,0.04647728223579617,0.5149164677804295,0.04999666644442963,49996666444.42963
