trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val
94,0.49305072967338415,51985831041.10185,0.023550834506750107,0.051985831041101854,0.4699386503067485,0.04997839459102232,49978394591.022316
0,0.514246004169562,56962776799.31926,0.04437257722020149,0.056962776799319256,0.48711656441717793,0.04975598596919323,49755985969.19323
1,0.5132036136205697,57215087170.759705,0.038264866918325424,0.0572150871707597,0.48466257668711654,0.049679731584566116,49679731584.56612
2,0.5201528839471854,59327568123.800285,0.043196260929107666,0.05932756812380029,0.48466257668711654,0.04994026739870876,49940267398.708755
3,0.4944405837387073,51782993291.51248,0.03685658425092697,0.05178299329151248,0.4865030674846626,0.04997204005897006,49972040058.97006
4,0.5135510771369005,57333821463.20226,0.05407226085662842,0.05733382146320226,0.4815950920245399,0.04983224035382035,49832240353.82035
5,0.37595552466990956,72477391011.81407,0.03351166471838951,0.07247739101181407,0.3226993865030675,0.04959712266788674,49597122667.88674
6,0.5125086865879082,57165614548.90864,0.034146592020988464,0.05716561454890864,0.48957055214723927,0.04995933099486554,49959330994.86554
7,0.454482279360667,48740427047.67182,0.03850105032324791,0.04874042704767182,0.45521472392638035,0.04971150424482741,49711504244.827415
8,0.3095899930507296,54325886054.65736,0.016104649752378464,0.05432588605465735,0.2889570552147239,0.04969244064867063,49692440648.67063
9,0.39402362751911035,69429877505.7883,0.02354530803859234,0.0694298775057883,0.3177914110429448,0.049590768135834476,49590768135.83448
10,0.4808895066018067,50808382641.04645,0.03283834829926491,0.050808382641046444,0.46932515337423314,0.049902140206395204,49902140206.3952
11,0.5281445448227935,62187085666.792,0.03874624893069267,0.062187085666792,0.4883435582822086,0.04959712266788674,49597122667.88674
12,0.4822793606671298,48146755585.45901,0.03457805514335632,0.04814675558545901,0.47730061349693254,0.049902140206395204,49902140206.3952
13,0.5079916608756079,54884926681.57442,0.019968245178461075,0.054884926681574416,0.48773006134969327,0.04979411316150679,49794113161.50679
14,0.506254343293954,53935052342.03392,0.0379900187253952,0.05393505234203392,0.48588957055214727,0.049864013014081644,49864013014.08164
15,0.48401667824878375,48596956444.30373,0.026943998411297798,0.04859695644430372,0.4815950920245399,0.04998474912307458,49984749123.074585
16,0.49305072967338415,53039597886.529594,0.028222130611538887,0.053039597886529594,0.46748466257668714,0.04999110365512684,49991103655.12684
17,0.4989576094510075,54474303920.210556,0.03884446993470192,0.054474303920210555,0.47914110429447854,0.04981953128971583,49819531289.71583
18,0.47810979847116036,54380305938.69353,0.06939782202243805,0.05438030593869353,0.4503067484662577,0.04999110365512684,49991103655.12684
19,0.5427380125086864,63023172976.07504,0.03935851901769638,0.06302317297607504,0.48895705521472393,0.049787758629454525,49787758629.45453
20,0.46733842946490606,52757603941.97851,0.04947448894381523,0.05275760394197851,0.43558282208588955,0.049813176757663565,49813176757.66357
21,0.4982626824183459,52193616052.87634,0.04057648405432701,0.05219361605287634,0.48957055214723927,0.04975598596919323,49755985969.19323
22,0.5201528839471854,59119783112.02581,0.040757790207862854,0.05911978311202581,0.4920245398773006,0.04995933099486554,49959330994.86554
23,0.4228630993745655,41685631171.70958,0.02626965381205082,0.04168563117170958,0.4466257668711656,0.04990849473844746,49908494738.447464
24,0.45934676858929796,49625986978.80593,0.03289797902107239,0.04962598697880593,0.450920245398773,0.04960983173199126,49609831731.99126
25,0.4801945795691451,55824906496.744705,0.04979002848267555,0.0558249064967447,0.4539877300613497,0.04995297646281328,49952976462.81328
26,0.4979152189020151,53202857538.63812,0.054289963096380234,0.05320285753863812,0.47791411042944787,0.04997839459102232,49978394591.022316
27,0.4360667129951354,44060317020.56082,0.050659481436014175,0.04406031702056082,0.44969325153374234,0.049616186264043516,49616186264.04352
28,0.46907574704655997,52797182039.459366,0.021330665796995163,0.052797182039459364,0.452760736196319,0.04995297646281328,49952976462.81328
29,0.48366921473245295,50407654404.052795,0.049843546003103256,0.050407654404052794,0.4742331288343558,0.049864013014081644,49864013014.08164
30,0.4468380820013897,51807729602.43801,0.03702175244688988,0.05180772960243801,0.4171779141104294,0.04995933099486554,49959330994.86554
31,0.4246004169562195,41651000336.413826,0.0529026985168457,0.04165100033641383,0.43803680981595094,0.049628895328148036,49628895328.14803
32,0.4492703266157052,46514159064.37378,0.026540623977780342,0.046514159064373777,0.4521472392638037,0.04994662193076102,49946621930.761024
33,0.48783877692842237,59708507312.05351,0.02412158064544201,0.05970850731205351,0.4466257668711656,0.04994026739870876,49940267398.708755
34,0.4617790132036135,50991431341.8954,0.052066199481487274,0.0509914313418954,0.45153374233128835,0.04995297646281328,49952976462.81328
35,0.4096594857539957,41947836067.52023,0.04579402133822441,0.041947836067520235,0.4214723926380368,0.049552640943520916,49552640943.52092
