dataset,precision_test_mean,precision_test_std,recall_test_mean,recall_test_std,fpr_test_mean,fpr_test_std,precision_val_mean,precision_val_std,recall_val_mean,recall_val_std,fpr_val_mean,fpr_val_std,roc_auc_val_mean,roc_auc_val_std,pr_auc_val_mean,pr_auc_val_std
Base,11.444292,2.429955,44.546908,11.6263,4.873959,1.060644,8.604975,1.863813,45.492638,10.269949,4.982023,0.016399,85.011021,6.334902,11.38018,3.873137
Variant I,10.456946,2.950099,43.166782,12.1655,5.299507,1.17888,7.852825,2.022162,41.273006,10.961244,4.98506,0.021821,83.047063,7.597141,9.197407,3.136874
Variant II,11.358319,2.99028,44.263377,12.086759,4.94094,1.097953,8.302743,1.997326,43.832515,10.931062,4.986592,0.015188,84.880455,6.825776,10.378321,3.574357
Variant III,12.956281,3.344895,63.306184,14.589504,4.760288,1.055594,12.679481,2.600173,65.126492,14.009254,4.980132,0.017109,91.031613,7.331929,41.086755,13.837406
Variant IV,8.536223,1.945315,38.261312,9.599385,4.558916,0.806204,9.802025,2.165114,48.73389,11.155072,4.983679,0.015393,87.313191,6.563627,14.356613,4.403834
Variant V,7.747935,1.519862,34.979638,7.716082,4.651728,0.963971,12.556162,2.184827,64.308473,11.794296,4.980559,0.021675,90.74244,5.972919,42.403283,12.060256
