trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val
0,0.48540653231410685,48151702847.64411,0.06801283359527588,0.04815170284764411,0.48711656441717793,0.04974963143714097,49749631437.140976
1,0.4228630993745655,49695248649.39742,0.036152295768260956,0.04969524864939742,0.41411042944785276,0.04959712266788674,49597122667.88674
2,0.4829742876997914,56393841648.03198,0.040197521448135376,0.05639384164803198,0.4423312883435583,0.04970514971277515,49705149712.77515
3,0.49339819318971495,49269784101.47824,0.04464729130268097,0.04926978410147824,0.4901840490797546,0.049902140206395204,49902140206.3952
4,0.530576789437109,63636633487.028275,0.04026683419942856,0.06363663348702828,0.4822085889570552,0.04988307661023842,49883076610.23842
5,0.378387769284225,57690024340.52995,0.036126356571912766,0.05769002434052995,0.3496932515337423,0.04983224035382035,49832240353.82035
6,0.3610145934676858,44159262264.262955,0.03779078647494316,0.044159262264262956,0.39263803680981596,0.049889431142290684,49889431142.29069
7,0.3203613620569839,65051550471.96881,0.023898454383015633,0.06505155047196881,0.2282208588957055,0.04994026739870876,49940267398.708755
8,0.2529534398888116,47785605445.94621,0.014273485168814659,0.04778560544594621,0.25398773006134967,0.04990849473844746,49908494738.447464
9,0.5302293259207782,62305819959.23456,0.04767296463251114,0.06230581995923456,0.49693251533742333,0.04989578567434294,49895785674.34294
10,0.4211257817929116,38400649080.79869,0.022990500554442406,0.03840064908079869,0.45521472392638035,0.04999110365512684,49991103655.12684
11,0.11952744961779009,75633744285.91217,0.013127651996910572,0.07563374428591217,0.05889570552147239,0.049864013014081644,49864013014.08164
12,0.4979152189020151,53786634476.48072,0.026556508615612984,0.053786634476480716,0.48282208588957054,0.0499339128666565,49933912866.6565
13,0.47220291869353703,54400094987.43396,0.04112613946199417,0.05440009498743396,0.4582822085889571,0.04997204005897006,49972040058.97006
14,0.4864489228630992,47671818415.68876,0.02947167493402958,0.04767181841568876,0.49325153374233127,0.04998474912307458,49984749123.074585
15,0.4732453092425294,50100924148.57618,0.04194551706314087,0.05010092414857618,0.4754601226993865,0.0499656855269178,49965685526.9178
16,0.48123697011813743,48216017256.0505,0.05979255214333534,0.0482160172560505,0.4754601226993865,0.04983224035382035,49832240353.82035
17,0.3419041000694926,31068806522.470463,0.029573841020464897,0.031068806522470464,0.4233128834355828,0.04994026739870876,49940267398.708755
18,0.2696316886726893,72576336255.5162,0.01362528931349516,0.0725763362555162,0.21226993865030674,0.049590768135834476,49590768135.83448
19,0.279708130646282,56374052599.29156,0.018391987308859825,0.056374052599291555,0.254601226993865,0.04980682222561131,49806822225.611305
20,0.5128561501042389,54325886054.65736,0.0335506834089756,0.05432588605465735,0.48773006134969327,0.04995933099486554,49959330994.86554
21,0.5138985406532313,58100647101.893814,0.04291766509413719,0.05810064710189381,0.48588957055214727,0.04997204005897006,49972040058.97006
22,0.5277970813064626,64284724833.27727,0.04534829780459404,0.06428472483327727,0.4668711656441718,0.049838594885872604,49838594885.872604
23,0.4416261292564279,64720083905.566666,0.015610964968800545,0.06472008390556666,0.37300613496932516,0.04995297646281328,49952976462.81328
24,0.39193884642112564,56260265569.034096,0.019081974402070045,0.056260265569034094,0.35276073619631904,0.0499339128666565,49933912866.6565
25,0.4715079916608755,46410266558.486534,0.057784684002399445,0.04641026655848653,0.4736196319018405,0.049825885821768084,49825885821.76808
26,0.16747741487143844,57056774780.83628,0.01441118586808443,0.05705677478083628,0.1374233128834356,0.04984494941792486,49844949417.92486
