trial,perf_recall_test,fairness_ratio_test,thr_star,fpr_test,recall_val,fpr_val,fairness_ratio_val
0,0.5083391243919387,48176200818.27312,0.04551098495721817,0.04817620081827312,0.5349693251533743,0.04995933099486554,49959330994.86554
1,0.543432939541348,56141253531.09092,0.06106237322092056,0.056141253531090916,0.5355828220858896,0.049241268872960195,49241268872.9602
2,0.5180681028492007,49769211360.83668,0.05269433185458183,0.049769211360836674,0.5325153374233129,0.04988307661023842,49883076610.23842
3,0.5253648366921472,51055493165.391106,0.061445798724889755,0.051055493165391104,0.5374233128834356,0.04994026739870876,49940267398.708755
4,0.5138985406532313,48670924589.255585,0.06052585318684578,0.048670924589255586,0.5343558282208589,0.049616186264043516,49616186264.04352
5,0.2995135510771368,55196331128.5144,0.00707568833604455,0.055196331128514395,0.3098159509202454,0.04990849473844746,49908494738.447464
6,0.464211257817929,49892892303.58229,0.03461940214037895,0.04989289230358229,0.47914110429447854,0.0499656855269178,49965685526.9178
7,0.41487143849895747,51960837666.289024,0.03186400607228279,0.05196083766628903,0.41840490797546015,0.049902140206395204,49902140206.3952
8,0.5038220986796385,49353643393.2114,0.057831376791000366,0.049353643393211404,0.5085889570552147,0.04979411316150679,49794113161.50679
9,0.4676858929812368,45687740250.231285,0.05918647348880768,0.045687740250231285,0.5085889570552147,0.0498703675461339,49870367546.1339
10,0.49965253648366903,46147833357.24499,0.02871212549507618,0.04614783335724498,0.5159509202453988,0.04992120380255198,49921203802.55198
11,0.4715079916608755,53415325552.9775,0.11999109387397766,0.0534153255529775,0.456441717791411,0.049902140206395204,49902140206.3952
12,0.4023627519110492,37683109635.734886,0.03488892316818237,0.03768310963573489,0.4625766871165644,0.04995297646281328,49952976462.81328
13,0.5232800555941625,55364537210.64844,0.04240921884775162,0.055364537210648435,0.5141104294478528,0.0499339128666565,49933912866.6565
14,0.5163307852675467,51842103961.253235,0.04603990912437439,0.05184210396125324,0.5042944785276073,0.04989578567434294,49895785674.34294
15,0.4881862404447532,52712817798.18238,0.09329590201377869,0.05271281779818238,0.47914110429447854,0.04951451375120736,49514513751.20737
16,0.30055594162612914,78621501684.53444,0.01587085798382759,0.07862150168453444,0.23742331288343557,0.04976869503329775,49768695033.29775
17,0.5201528839471854,53375747651.2989,0.062116075307130814,0.0533757476512989,0.5110429447852761,0.04997839459102232,49978394591.022316
18,0.5267546907574703,52312091543.686584,0.033790066838264465,0.05231209154368658,0.5288343558282208,0.049800467693559045,49800467693.559044
19,0.3043780403057678,64408087744.208015,0.014509700238704681,0.06440808774420802,0.26625766871165646,0.04908876010370596,49088760103.70596
20,0.27449617790132025,40735555302.69675,0.02553839422762394,0.04073555530269674,0.3294478527607362,0.04979411316150679,49794113161.50679
21,0.47671994440583726,43654425551.493324,0.034591566771268845,0.04365442555149333,0.5098159509202455,0.04998474912307458,49984749123.074585
22,0.5201528839471854,52133990986.1329,0.049223899841308594,0.052133990986132896,0.507361963190184,0.04989578567434294,49895785674.34294
23,0.48610145934676846,44411352921.096504,0.07170171290636063,0.044411352921096506,0.50920245398773,0.049902140206395204,49902140206.3952
24,0.48193189715079904,47364853833.86186,0.04244266450405121,0.04736485383386186,0.48895705521472393,0.04992755833460424,49927558334.60424
