dataset,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std
Base,11.444292,2.429955,44.546908,11.6263,4.873959,1.060644,85.011021,6.334902,11.38018,3.873137
Variant I,10.456946,2.950099,43.166782,12.1655,5.299507,1.17888,83.047063,7.597141,9.197407,3.136874
Variant II,11.358319,2.99028,44.263377,12.086759,4.94094,1.097953,84.880455,6.825776,10.378321,3.574357
Variant III,12.956281,3.344895,63.306184,14.589504,4.760288,1.055594,91.031613,7.331929,41.086755,13.837406
Variant IV,8.536223,1.945315,38.261312,9.599385,4.558916,0.806204,87.313191,6.563627,14.356613,4.403834
Variant V,7.747935,1.519862,34.979638,7.716082,4.651728,0.963971,90.74244,5.972919,42.403283,12.060256
